,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed,City
0,47.01584783200724,27.756904198559766,31.48,58,0,4.7,schitu-duca
1,-69.45980492520587,-108.49213161399854,24.12,100,76,17.69,punta arenas
2,-88.74684031625127,17.457929887545163,-59.41,0,24,15.01,bredasdorp
3,-23.896697964192498,81.21813959140468,75.6,100,8,17.81,grand river south east
4,0.695390367139268,-127.66742241041763,80.64,100,68,6.29,atuona
5,74.27451760656797,-132.36308092944094,13.9,85,64,17.02,tuktoyaktuk
6,-18.72896891227964,-88.38915735469008,71.32,100,12,11.99,lima
7,-45.387416121608425,41.367766378571986,48.73,94,24,29.1,umzimvubu
8,-55.037344081459175,-157.26332243439026,45.99,87,92,34.14,mataura
9,45.89295325217509,-170.84007589133523,42.75,94,8,10.2,bethel
10,64.21906904318612,-48.102745000480525,-9.46,78,48,16.24,paamiut
11,67.97475652167938,-164.06156692792226,28.4,92,90,34.45,nome
12,35.87621857823497,-101.3110842149238,77.79,44,1,18.34,borger
13,-77.41241950211212,-161.7978161035514,0.13,93,8,15.23,mataura
14,47.77341937850238,-31.62282155892447,53.37,91,68,20.6,lagoa
15,-82.01710059701443,-43.98297518839897,-2.35,46,88,4.27,ushuaia
16,15.442670734149928,-93.63074503569158,91.17,45,0,13.89,tres picos
17,-20.140811580840833,112.89916786281157,80.64,100,0,7.52,karratha
18,23.75175801924415,87.66651521259081,66.2,100,0,2.24,ahmadpur
19,-45.723469927461224,174.59820793194734,57.42,100,36,11.99,christchurch
20,-52.33863143514324,63.45314723992075,39.28,100,88,19.71,taolanaro
21,55.32370519657408,-102.07394756728428,31.41,73,88,9.31,flin flon
22,63.214084720615546,-105.03584646176253,0.58,71,8,12.21,la ronge
23,-76.06505603466314,139.98453880442395,-59.72,0,0,15.01,hobart
24,15.830576808276305,-3.8762623809925003,81.45,64,0,2.82,goundam
25,-7.320895597513598,104.41411371514937,81.81,100,76,7.07,labuhan
26,-83.57421132479553,-124.29869512771724,-25.57,34,0,13.67,rikitea
27,-2.86715298303902,-24.623521102657577,83.97,100,0,3.38,nisia floresta
28,13.76764560309877,91.09792609854793,80.73,100,8,5.17,port blair
29,-75.56059115047184,82.26451175022817,-47.98,0,8,17.92,busselton
30,28.871631725997418,110.98235546015206,59.08,98,80,9.19,dayong
31,40.16111319330173,-45.96314220302793,64.71,96,64,28.88,torbay
32,-37.13324949131335,95.23195948067342,59.22,100,64,10.42,busselton
33,-73.85313464261912,-143.35073922752193,15.07,100,64,13,mataura
34,76.63450699816912,-95.25950145998534,-17.02,48,24,9.86,thompson
35,59.28035398234684,178.44918550786036,33.88,100,56,18.37,beringovskiy
36,-5.879786640225944,144.5231518719046,60.25,97,92,1.36,mount hagen
37,-64.65268805067676,121.24475096284215,29.97,100,88,27.42,albany
38,62.92226828026136,121.1733856959126,4.95,75,0,2.71,vilyuysk
39,-85.38363138398506,-43.752030733552715,-16.7,56,48,18.92,ushuaia
40,-66.81993076331796,110.71721231906332,-6.22,53,0,6.06,albany
41,89.56406037465808,76.56509215222667,-9.37,83,56,10.54,dikson
42,41.181552522749286,-94.16134853076589,63.5,59,90,12.75,west des moines
43,14.598864894421467,133.4368805837131,79.38,100,64,18.48,meyungs
44,75.8764264890674,-3.6645854452114577,23.4,100,24,23.85,klaksvik
45,-20.97541651391748,119.85271587274616,81.09,72,0,4.72,port hedland
46,46.082438781422184,-85.9099603024207,39.61,64,90,14.99,escanaba
47,-54.63366522510456,32.4141717709837,36.54,98,48,42.75,port alfred
48,-79.35942293159503,109.78309425533706,-76.73,0,0,5.61,albany
49,-10.79645148287581,4.512618673042226,80.05,100,8,15.01,namibe
50,36.0872267334732,151.3838993468936,58.18,100,92,42.19,nemuro
51,-41.39208187364183,61.39672584872153,56.34,100,80,19.48,saint-philippe
52,-30.484156767769875,-15.289969674995007,74.25,99,92,15.01,jamestown
53,-4.059997598388662,-3.3528991412434266,83.65,100,12,6.51,axim
54,-13.701276741801607,154.89383601083313,82.71,100,64,11.21,samarai
55,-89.47876908841691,-14.472251876143105,-59.41,0,20,14.9,ushuaia
56,39.12850636088004,145.78437203616926,42.66,100,92,22.84,yamada
57,-13.32661002986319,-70.09696482242646,69.48,97,44,2.15,macusani
58,53.01205661965474,161.8500975993652,33.75,100,92,38.72,petropavlovsk-kamchatskiy
59,59.588111010831,-87.59983965130256,12.06,91,44,28.88,attawapiskat
60,51.130910569778706,2.7603614888361676,46.76,87,75,1.12,nieuwpoort
61,22.23322219982407,80.49107930859526,62.23,61,0,3.15,baihar
62,83.24873920475338,117.54040232038852,8.19,87,68,7.63,saskylakh
63,12.508494999341806,-29.87133996169291,73.03,100,20,16.58,sao filipe
64,-73.94518821554918,-153.87787771747588,18.18,100,20,15.79,mataura
65,26.69989344403305,66.5781181451778,57.28,41,0,4.94,bela
66,-65.30526099131148,-151.42400933055137,32.53,97,92,12.1,mataura
67,20.422826943869453,57.54954959507421,67,100,12,3.71,ibra
68,-84.53323866491363,-101.83943478143281,-51.53,0,0,8.86,punta arenas
69,-2.678781527404155,-77.9874463439294,66.28,97,92,2.71,sucua
70,73.44951280289527,84.73034601811895,22.68,87,76,25.3,karaul
71,-80.12680399662078,-8.951132762906752,-7.88,71,64,16.24,hermanus
72,19.372394434692282,118.18054752183048,78.75,100,0,5.06,davila
73,84.36798672492415,-170.96197488878735,-7.12,90,68,11.1,mys shmidta
74,4.661965561129634,108.56177915518424,81.99,100,88,8.63,pemangkat
75,10.046032481342706,47.335540837419416,54.13,64,0,3.71,garowe
76,10.7013167267623,66.97137865710724,81.27,100,0,1.14,kavaratti
77,62.712040565667394,148.44247238207367,8.82,70,0,3.6,susuman
78,-72.48451561536922,-28.068118484099045,28.08,96,68,9.64,ushuaia
79,-33.101871909437016,-23.080699067336298,68.76,100,88,14.34,sao joao da barra
80,-35.46903355863518,-42.237819077646606,64.71,100,24,14.45,cidreira
81,32.09844365062291,-147.1823826257988,59.67,100,56,12.66,kahului
82,60.94658042229696,-140.84704489859405,16.15,90,0,0.92,haines junction
83,21.958499129481453,-106.32889729583708,74.16,100,0,9.64,teacapan
84,83.84524701965464,20.558983892768765,-5.5,69,36,9.75,longyearbyen
85,45.56409850440656,49.57685172807436,44.64,100,24,11.21,marfino
86,-26.238768817075773,-160.5109983181746,73.53,100,100,23.96,avarua
87,20.025977290727113,-31.663457575045555,70.87,100,56,14.45,ponta do sol
88,54.302087855789665,46.018037674687434,32.04,98,92,7.63,bolshiye berezniki
89,83.75073315181172,-88.52446679426683,-4.37,79,64,8.97,qaanaaq
90,48.393170472404336,-12.476794024431257,52.33,100,0,14,dingle
91,23.530153302796307,75.45688690913079,62.19,54,0,2.71,gogapur
92,30.208464861852335,-66.5347622025506,68.04,100,36,9.98,hamilton
93,-63.616692872535836,-147.46357402504782,33.66,95,92,14.79,mataura
94,-86.62482928994869,-158.48627335660194,-56.62,0,0,5.39,mataura
95,9.467421419027758,140.5149369741494,80.91,100,32,19.37,airai
96,54.574614012529366,-56.01193119017064,4.86,78,0,14.12,saint anthony
97,61.17501386059354,13.791046948047352,27.18,92,0,1.12,ludvika
98,-55.00856808790372,-112.75170244946955,38.47,100,92,20.6,rikitea
99,16.074645528223726,70.53789111315507,81.4,100,0,9.19,ratnagiri
100,58.36943145560943,121.6187816541543,11.47,76,76,3.27,khani
101,-15.757311286270308,107.12299571763293,80.28,100,76,7.63,srandakan
102,-69.80308388641836,37.162671418813204,4.72,91,8,9.42,port alfred
103,-11.768085790090183,81.44318226532693,79.92,100,92,10.98,hithadhoo
104,-68.39307415318798,-29.30853163362991,28.98,100,64,8.52,ushuaia
105,82.5910999625992,-179.72710939983918,-9.19,83,48,5.84,mys shmidta
106,-33.968762352600535,10.770180807748687,70.33,96,92,17.81,saldanha
107,47.81910008303268,102.94576065878158,15.39,54,32,9.08,bulgan
108,-32.847285550550666,-71.75022881298794,57.2,87,90,5.82,valparaiso
109,-29.018800727016725,-148.6972565833778,71.68,100,76,20.83,mataura
110,66.63905107818613,-176.5252536619928,23.98,85,56,18.48,egvekinot
111,-9.407315461164174,49.45667072251004,85.23,98,92,8.75,ambilobe
112,-82.07745731828128,44.8280290331067,-65.35,0,20,11.54,port alfred
113,-68.13037594428923,87.60688180557946,-19.85,45,0,29.33,busselton
114,-85.62160182372563,-147.53729817854264,-54.01,0,0,3.04,mataura
115,3.288003167970629,-33.56019937088752,80.46,100,56,17.92,caucaia
116,-48.80745924735752,-170.76780923051473,56.02,100,0,21.39,vaini
117,10.071693828271862,-26.501225139678866,73.89,100,0,14.79,sao filipe
118,-7.565168378525698,88.11381077469372,82.98,100,32,4.38,padang
119,25.14278769340065,102.82271925754713,60.22,50,90,15.66,kunming
120,37.30742165753523,173.6828647928682,57.55,97,0,26.08,nikolskoye
121,-28.567894183646807,67.00426947321483,77.85,95,32,19.15,mahebourg
122,2.482535367223761,-121.62069940208735,79.6,100,68,11.43,atuona
123,4.17531672382016,151.77085112248983,79.74,100,80,8.63,kavieng
124,57.385113741569114,-6.0676199134491355,46.99,95,92,11.01,portree
125,-8.861905796020608,-168.84351240596163,85.59,100,12,9.19,lufilufi
126,-48.57030911682168,-2.4867107825897676,39.28,100,12,11.88,cape town
127,67.99420395727253,39.38352460674798,28.53,88,88,18.48,ostrovnoy
128,-30.85615340462501,4.801615699495329,71.77,100,36,5.06,luderitz
129,-47.24430741878224,15.023606645661147,42.3,100,76,15.79,hermanus
130,6.80630262285456,34.90103902861267,66.42,99,92,7.96,mizan teferi
131,-3.7669421755503123,140.63862888168563,73.8,93,80,1.36,vanimo
132,86.92973830657328,-109.15052737275943,-3.92,77,76,9.64,yellowknife
133,-82.87990274141703,106.13196335147626,-74.3,0,0,17.13,albany
134,47.69097153746961,128.2506853938288,20.7,36,0,3.38,cuiluan
135,38.86877509447385,-71.16278043830165,46.3,100,0,18.03,mastic beach
136,-7.168111622070569,-144.0279327822021,82.26,100,92,12.44,atuona
137,85.10052158468125,43.346254421244055,-8.74,65,56,5.95,belushya guba
138,75.9762744916305,153.36196565205017,2.65,94,56,7.96,chokurdakh
139,40.26320817878039,-163.61612837597212,48.28,100,100,48.56,kapaa
140,10.181441180289667,135.04450980652553,81.13,98,56,22.39,airai
141,43.79672752662768,-90.53497134339425,58.35,48,90,8.05,la crosse
142,-18.65206277404276,175.11484890728445,79.78,100,68,19.48,isangel
143,-80.07732306424549,-161.8374638420486,-9.05,80,64,2.71,mataura
144,-17.208875397460687,-95.06093388694147,73.3,100,0,13.44,puerto ayora
145,-73.70188676599255,-43.07755261878566,-5,92,64,5.17,ushuaia
146,29.838764452814516,-51.71815272354527,71.95,96,56,17.25,saint george
147,-61.4853176556265,3.318433045703955,31.5,100,48,26.53,hermanus
148,-27.003268117542554,61.88254449409973,78.88,98,68,11.88,mahebourg
149,51.931100149269724,-147.45301551483175,42.84,97,64,14,kodiak
